model,hyperparameters,time,accuracy
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 30, 'accuracy': 0.7849462365591398}",0.0284411907196044,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 50, 'accuracy': 0.7741935483870968}",0.0,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 7, 'accuracy': 0.8118279569892473}",0.0124323368072509,0.8118279569892473
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 12, 'accuracy': 0.8172043010752689}",0.0436930656433105,0.8172043010752689
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 49, 'accuracy': 0.7849462365591398}",0.0118622779846191,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 23, 'accuracy': 0.7956989247311828}",0.015251874923706,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 17, 'accuracy': 0.8010752688172043}",0.0,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 58, 'accuracy': 0.7956989247311828}",0.0436930656433105,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 39, 'accuracy': 0.8064516129032258}",0.0145239830017089,0.8064516129032258
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 48, 'accuracy': 0.7795698924731183}",0.0436930656433105,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 18, 'accuracy': 0.7903225806451613}",0.0118622779846191,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 16, 'accuracy': 0.7849462365591398}",0.0156333446502685,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 57, 'accuracy': 0.7795698924731183}",0.0156333446502685,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 10, 'accuracy': 0.7688172043010753}",0.0169060230255126,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 31, 'accuracy': 0.7849462365591398}",0.0318307876586914,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 35, 'accuracy': 0.7795698924731183}",0.0343484878540039,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 43, 'accuracy': 0.7795698924731183}",0.0156333446502685,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 3, 'accuracy': 0.8440860215053764}",0.0118622779846191,0.8440860215053764
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 28, 'accuracy': 0.7956989247311828}",0.008523941040039,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 53, 'accuracy': 0.7903225806451613}",0.0161612033843994,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': None, 'accuracy': 0.8064516129032258}",0.0242707729339599,0.8064516129032258
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 34, 'accuracy': 0.7795698924731183}",0.0237209796905517,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 4, 'accuracy': 0.8387096774193549}",0.0237209796905517,0.8387096774193549
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 13, 'accuracy': 0.7956989247311828}",0.0160837173461914,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 33, 'accuracy': 0.7688172043010753}",0.0079741477966308,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 19, 'accuracy': 0.8118279569892473}",0.0237209796905517,0.8118279569892473
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 56, 'accuracy': 0.7849462365591398}",0.0079741477966308,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 49, 'accuracy': 0.7795698924731183}",0.0528290271759033,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 9, 'accuracy': 0.8010752688172043}",0.0440518856048584,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 18, 'accuracy': 0.7903225806451613}",0.0440518856048584,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 33, 'accuracy': 0.7634408602150538}",0.0279681682586669,0.7634408602150538
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 7, 'accuracy': 0.8279569892473119}",0.0,0.8279569892473119
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 32, 'accuracy': 0.7903225806451613}",0.0399749279022216,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 51, 'accuracy': 0.7741935483870968}",0.0481452941894531,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 11, 'accuracy': 0.7849462365591398}",0.0622491836547851,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 37, 'accuracy': 0.7741935483870968}",0.0437996387481689,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 18, 'accuracy': 0.7741935483870968}",0.0477659702301025,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 42, 'accuracy': 0.7903225806451613}",0.0275888442993164,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 25, 'accuracy': 0.7741935483870968}",0.0965108871459961,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 15, 'accuracy': 0.7795698924731183}",0.0537388324737548,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 46, 'accuracy': 0.7849462365591398}",0.0587604045867919,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 36, 'accuracy': 0.7956989247311828}",0.0930161476135253,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 20, 'accuracy': 0.7903225806451613}",0.0545306205749511,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 57, 'accuracy': 0.7849462365591398}",0.0227377414703369,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 47, 'accuracy': 0.7903225806451613}",0.0335135459899902,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 24, 'accuracy': 0.7903225806451613}",0.0147421360015869,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 46, 'accuracy': 0.7688172043010753}",0.0217502117156982,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 39, 'accuracy': 0.7849462365591398}",0.0345487594604492,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 37, 'accuracy': 0.7903225806451613}",0.0540065765380859,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 19, 'accuracy': 0.7956989247311828}",0.0375983715057373,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 56, 'accuracy': 0.7741935483870968}",0.1061172485351562,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 57, 'accuracy': 0.7956989247311828}",0.0532653331756591,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 23, 'accuracy': 0.7849462365591398}",0.0406763553619384,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 31, 'accuracy': 0.7849462365591398}",0.0649638175964355,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 4, 'accuracy': 0.8387096774193549}",0.0352368354797363,0.8387096774193549
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 8, 'accuracy': 0.8172043010752689}",0.1489853858947754,0.8172043010752689
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 26, 'accuracy': 0.7849462365591398}",0.1489853858947754,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 48, 'accuracy': 0.7795698924731183}",0.0327296257019043,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 16, 'accuracy': 0.7903225806451613}",0.0426878929138183,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 44, 'accuracy': 0.7903225806451613}",0.0333878993988037,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 36, 'accuracy': 0.7688172043010753}",0.0113756656646728,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 29, 'accuracy': 0.7849462365591398}",0.0266685485839843,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 25, 'accuracy': 0.7849462365591398}",0.0614378452301025,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 30, 'accuracy': 0.7795698924731183}",0.047123908996582,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 43, 'accuracy': 0.7903225806451613}",0.0564894676208496,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 41, 'accuracy': 0.7849462365591398}",0.0715687274932861,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 55, 'accuracy': 0.7956989247311828}",0.0488398075103759,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 24, 'accuracy': 0.7903225806451613}",0.0311548709869384,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 7, 'accuracy': 0.8172043010752689}",0.0385413169860839,0.8172043010752689
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 14, 'accuracy': 0.7903225806451613}",0.0180859565734863,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 42, 'accuracy': 0.7688172043010753}",0.0604233741760253,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 24, 'accuracy': 0.7688172043010753}",0.056934118270874,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 58, 'accuracy': 0.7741935483870968}",0.0613369941711425,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 23, 'accuracy': 0.7795698924731183}",0.0157785415649414,0.7795698924731183
